วันที่ประเมิน,วันที่ประเมิน_adjust
15/6/2565,2022-06-15
2565-07-09 00:00:00,2022-07-09
2565-01-08 00:00:00,2022-01-08
2565-11-08 00:00:00,2022-11-08
2565-04-08 00:00:00,2022-04-08
2565-02-04 00:00:00,2022-02-04
18/2/2565,2022-02-18
29/3/2565,2022-03-29
2565-09-03 00:00:00,2022-09-03
2565-04-04 00:00:00,2022-04-04
25/4/2565,2022-04-25
2565-04-04 00:00:00,2022-04-04
31/3/2565,2022-03-31
2565-09-06 00:00:00,2022-09-06
19/8/2565,2022-08-19
23/8/2565,2022-08-23
2565-11-08 00:00:00,2022-11-08
2565-11-08 00:00:00,2022-11-08
2565-08-09 00:00:00,2022-08-09
17/11/2565,2022-11-17
2565-12-04 00:00:00,2022-12-04
2565-11-08 00:00:00,2022-11-08
2563-10-05 00:00:00,2020-10-05
2563-04-20 00:00:00,2020-04-20
28/5/2563,2020-05-28
28/5/2563,2020-05-28
2563-06-08 00:00:00,2020-06-08
2563-04-02 00:00:00,2020-04-02
2563-06-17 00:00:00,2020-06-17
2563-09-29 00:00:00,2020-09-29
2563-09-28 00:00:00,2020-09-28
2563-09-28 00:00:00,2020-09-28
2563-12-08 00:00:00,2020-12-08
2563-07-17 00:00:00,2020-07-17
2563-01-31 00:00:00,2020-01-31
2563-01-24 00:00:00,2020-01-24
2563-01-24 00:00:00,2020-01-24
2563-08-07 00:00:00,2020-08-07
2563-03-23 00:00:00,2020-03-23
2563-01-06 00:00:00,2020-01-06
2563-05-15 00:00:00,2020-05-15
2563-05-28 00:00:00,2020-05-28
2563-05-05 00:00:00,2020-05-05
2563-07-14 00:00:00,2020-07-14
2563-09-25 00:00:00,2020-09-25
2563-04-24 00:00:00,2020-04-24
2563-04-24 00:00:00,2020-04-24
2563-11-23 00:00:00,2020-11-23
2563-10-22 00:00:00,2020-10-22
2563-05-11 00:00:00,2020-05-11
2564-08-09 00:00:00,2021-08-09
2564-01-27 00:00:00,2021-01-27
2564-02-03 00:00:00,2021-02-03
2564-01-28 00:00:00,2021-01-28
2564-05-31 00:00:00,2021-05-31
18/8/2564,2021-08-18
23/8/2564,2021-08-23
27/9/2564,2021-09-27
2564-07-09 00:00:00,2021-07-09
25/10/2564,2021-10-25
2564-02-11 00:00:00,2021-02-11
14/12/2564,2021-12-14
16/12/2564,2021-12-16
24/12/2564,2021-12-24
2564-02-03 00:00:00,2021-02-03
2565-06-15 00:00:00,2022-06-15
242896,2022-01-08
11 ส.ค. 2565,2022-08-11
242986,2022-04-08
242923,2022-02-04
243134,2022-09-03
242982,2022-04-04
242982,2022-04-04
243137,2022-09-06
243200,2022-11-08
243200,2022-11-08
243078,2022-07-09
243109,2022-08-09
2564-08-09 00:00:00,2021-08-09
21/9/2565,2022-09-21
2563-10-16 00:00:00,2020-10-16
2564-01-13 00:00:00,2021-01-13
2564-01-09 00:00:00,2021-01-09
2565-09-21 00:00:00,2022-09-21
18/3/2565,2022-03-18
243195,2022-11-03
28/2/2565,2022-02-28
14/1/2565,2022-01-14
25/3/2565,2022-03-25
25/4/2565,2022-04-25
19/5/2565,2022-05-19
31/5/2565,2022-05-31
30/6/2565,2022-06-30
25/8/2565,2022-08-25
243203,2022-11-11
18/11/2565,2022-11-18
19/12/2565,2022-12-19
21/12/2565,2022-12-21
23/12/2565,2022-12-23
2563-06-09 00:00:00,2020-06-09
22/12/2563,2020-12-22
2563-05-03 00:00:00,2020-05-03
2563-03-06 00:00:00,2020-03-06
2563-03-23 00:00:00,2020-03-23
2563-03-30 00:00:00,2020-03-30
2563-04-22 00:00:00,2020-04-22
2563-05-25 00:00:00,2020-05-25
2563-09-20 00:00:00,2020-09-20
2564-01-11 00:00:00,2021-01-11
29/10/2564,2021-10-29
14/9/2564,2021-09-14
2564-02-09 00:00:00,2021-02-09
2564-05-11 00:00:00,2021-05-11
18/11/2564,2021-11-18
2564-08-12 00:00:00,2021-08-12
21/05/2564,2021-05-21
2563-12-22 00:00:00,2020-12-22
2563-03-05 00:00:00,2020-03-05
2564-01-04 00:00:00,2021-01-04
2565-11-03 00:00:00,2022-11-03
2565-11-11 00:00:00,2022-11-11
2022-03-25 00:00:00,2022-03-25
2022-10-25 00:00:00,2022-10-25
2564-09-14 00:00:00,2021-09-14
2564-10-29 00:00:00,2021-10-29
2564-11-18 00:00:00,2021-11-18
2565-03-18 00:00:00,2022-03-18
2565-02-28 00:00:00,2022-02-28
2565-01-14 00:00:00,2022-01-14
2565-03-25 00:00:00,2022-03-25
2565-04-25 00:00:00,2022-04-25
2565-05-19 00:00:00,2022-05-19
2565-05-31 00:00:00,2022-05-31
2565-06-30 00:00:00,2022-06-30
2565-08-25 00:00:00,2022-08-25
2565-11-18 00:00:00,2022-11-18
2565-12-19 00:00:00,2022-12-19
2565-12-21 00:00:00,2022-12-21
243095,2022-07-26
243095,2022-07-26
28/1/2565,2022-01-28
14/2/2565,2022-02-14
