เลขที่ CIF,Grade,การจัดส่ง
750250182,C+,ส่งเเล้ว
750805202,CCC,ส่งเเล้ว
750751453,A+,ส่งเเล้ว
750894182,BB,ส่งเเล้ว
750794184,CCC,ส่งเเล้ว
750794593,A+,ส่งเเล้ว
750205147,C+,ส่งเเล้ว
750765821,CCC,ส่งเเล้ว
750800525,A+,ส่งเเล้ว
750794184,BBB,ส่งเเล้ว
750798220,B+,ส่งเเล้ว
380002624,BBB,ส่งเเล้ว
750142067,A+,ส่งเเล้ว
380000938,B+,ส่งเเล้ว
750250182,DDD,ส่งเเล้ว
750769764,C+,ส่งเเล้ว
750805202,B+,ส่งเเล้ว
730018109,BBB,ส่งเเล้ว
750205147,B+,ส่งเเล้ว
680024725,DD,ส่งเเล้ว
750363096,BB,ส่งเเล้ว
750810662,BBB,ส่งเเล้ว
750810685,BB,ส่งเเล้ว
750854232,BB,ส่งเเล้ว
nan,B+,ส่งเเล้ว
750775273,A+,ส่งเเล้ว
750899369,BB,ส่งเเล้ว
nan,nan,ส่งเเล้ว
750764319,BBB,ส่งเเล้ว
750765097,BBB,ส่งเเล้ว
nan,B+,ส่งเเล้ว
750774147,BBB,ส่งเเล้ว
750285641,BBB,ส่งเเล้ว
730015345,DDD,ส่งเเล้ว
750811477,D+,ส่งเเล้ว
750899477,B+,ส่งเเล้ว
750862970,BBB,ส่งเเล้ว
550004812,C+,ส่งเเล้ว
750760423,BBB,ส่งเเล้ว
590002150,C+,ส่งเเล้ว
540004526,C+,ส่งเเล้ว
730016502,CC,ส่งเเล้ว
310003498,C+,ส่งเเล้ว
750761218,A+,ส่งเเล้ว
750765939,BBB,ส่งเเล้ว
750434909,BBB,ส่งเเล้ว
620003353,BBB,ส่งเเล้ว
750766587,A+,ส่งเเล้ว
730016502,CC,ส่งเเล้ว
750766732,A+,ส่งเเล้ว
620003353,BBB,ส่งเเล้ว
750894922,BBB,ส่งเเล้ว
480003176,DDD,ส่งเเล้ว
750765651,BB,ส่งเเล้ว
750748113,BBB,ส่งเเล้ว
750549700,CCC,ส่งเเล้ว
750434909,CCC,ส่งเเล้ว
630010083,CC,ส่งเเล้ว
540002759,DDD,ส่งเเล้ว
750836331,BBB,ส่งเเล้ว
New,DDD,ส่งเเล้ว
730015345,CC,ส่งเเล้ว
750118657,DDD,ส่งเเล้ว
670005453,C+,ส่งเเล้ว
390004094,C+,ส่งเเล้ว
750854232,BB,ส่งเเล้ว
750805397,B+,ส่งเเล้ว
750901135,B+,ส่งเเล้ว
750805168,B+,ส่งเเล้ว
730016736,BB,ส่งเเล้ว
750814617,A+,ส่งเเล้ว
750836331,BBB,ส่งเเล้ว
750432988,C+,ส่งเเล้ว
750792562,BBB,ส่งเเล้ว
750293549,B+,ส่งเเล้ว
-,BBB,ส่งเเล้ว
610013853,C+,ส่งเเล้ว
750676697,BB,ส่งเเล้ว
750271193,B+,ส่งเเล้ว
750787856,BBB,ส่งเเล้ว
750780026,DDD,ส่งเเล้ว
730008597,A+,ส่งเเล้ว
750902516,C+,ส่งเเล้ว
540002759,DDD,ส่งเเล้ว
630010083,8.CC,ส่งเเล้ว
750886616,C+,ส่งเเล้ว
750252455,DDD,ส่งเเล้ว
750314936,DDD,ส่งเเล้ว
630010083,CC,ส่งเเล้ว
750418373,C+,ส่งเเล้ว
750859821,BB,ส่งเเล้ว
750801290,B+,ส่งเเล้ว
750810015,BBB,ส่งเเล้ว
750516173,BB,ส่งเเล้ว
750810170,BB,ส่งเเล้ว
750803774,BB,ส่งเเล้ว
750811686,B+,ส่งเเล้ว
750797278,DDD,ส่งเเล้ว
750797170,nan,ส่งเเล้ว
750801021,CCC,ส่งเเล้ว
750797871,CCC,ส่งเเล้ว
nan,B+,ส่งเเล้ว
750844249,BB,ส่งเเล้ว
310006546,C+,ส่งเเล้ว
750816209,BBB,ส่งเเล้ว
750844249,CC,ส่งเเล้ว
750801933,B+,ส่งเเล้ว
750801290,CC,ส่งเเล้ว
750801933,CCC,ส่งเเล้ว
750801933,CC,ส่งเเล้ว
750845133,A+,ส่งเเล้ว
750397321,DD,ส่งเเล้ว
540002407,BBB,ส่งเเล้ว
750397349,10.DDD,ส่งเเล้ว
750050930,CCC,ส่งเเล้ว
750722644,C+,ส่งเเล้ว
680026953,CCC,ส่งเเล้ว
750770150,C+,ส่งเเล้ว
750662105,C+,ส่งเเล้ว
750719541,BBB,ส่งเเล้ว
630011345,B+,ส่งเเล้ว
360007613,DDD,ส่งเเล้ว
750245930,DDD,ส่งเเล้ว
650000643,B+,ส่งเเล้ว
750676263,BB,ส่งเเล้ว
680009350,CC,ส่งเเล้ว
750697586,C+,ส่งเเล้ว
750856473,CCC,ส่งเเล้ว
750868182,B+,ส่งเเล้ว
750850868,CC,ส่งเเล้ว
750707073,BBB,ส่งเเล้ว
580000915,CCC,ส่งเเล้ว
750669565,BBB,ส่งเเล้ว
680007970,CCC,ส่งเเล้ว
750805203,B+,ส่งเเล้ว
750851658,CC,ส่งเเล้ว
750795663,C+,ส่งเเล้ว
750856467,B+,ส่งเเล้ว
750807612,BB,ส่งเเล้ว
nan,CC,ส่งเเล้ว
750733911,B+,ส่งเเล้ว
-,B+,ส่งเเล้ว
750676263,BB,ส่งเเล้ว
680009350,CC,ส่งเเล้ว
750899787,B+,ส่งเเล้ว
nan,CC,ส่งเเล้ว
750697348,BBB,ส่งเเล้ว
680021623,CC,ส่งเเล้ว
580001257,B+,ส่งเเล้ว
730017279,B+,ส่งเเล้ว
750742860,B+,ส่งเเล้ว
600001595,B+,ส่งเเล้ว
670007676,CCC,ส่งเเล้ว
750805685,BB,ส่งเเล้ว
750708739,CC,ส่งเเล้ว
750757338,B+,ส่งเเล้ว
750389379,BB,ส่งเเล้ว
750854107,CC,ส่งเเล้ว
750475756,C+,ส่งเเล้ว
540001378,CC,ส่งเเล้ว
540005516,DDD,ส่งเเล้ว
750662105,C+,ส่งเเล้ว
750759942,C+,ส่งเเล้ว
540005516,DDD,ส่งเเล้ว
610011556,C+,ส่งเเล้ว
540005516,DDD,ส่งเเล้ว
380007660,CCC,ส่งเเล้ว
550005508,C+,ส่งเเล้ว
750722644,C+,ส่งเเล้ว
750843194,CCC,ส่งเเล้ว
750430676,CC,ส่งเเล้ว
750903011,C+,ส่งเเล้ว
750749689,C+,ส่งเเล้ว
750900842,B+,ส่งเเล้ว
550002424,CCC,ส่งเเล้ว
750590121,BB,ส่งเเล้ว
360012253,CCC,ส่งเเล้ว
730046386,C+,ส่งเเล้ว
750716560,BB,ส่งเเล้ว
750725217,CCC,ส่งเเล้ว
680014057,C+,ส่งเเล้ว
750847833,C+,ส่งเเล้ว
750326504,C+,ส่งเเล้ว
670005540,BBB,ส่งเเล้ว
750798794,C+,ส่งเเล้ว
730008353,C+,ส่งเเล้ว
750749689,C+,ส่งเเล้ว
750344427,BBB,ส่งเเล้ว
750758923,BBB,ส่งเเล้ว
750846657,CC,ส่งเเล้ว
680030262,C+,ส่งเเล้ว
750848664,CC,ส่งเเล้ว
680012813,BBB,ส่งเเล้ว
740000306,BB,ส่งเเล้ว
750839360,BB,ส่งเเล้ว
750850438,C+,ส่งเเล้ว
750760971,CCC,ส่งเเล้ว
750792563,BB,ส่งเเล้ว
750360207,CCC,ส่งเเล้ว
580001729,DDD,ส่งเเล้ว
750696767,BB,ส่งเเล้ว
750424388,CC,ส่งเเล้ว
750728591,B+,ส่งเเล้ว
610025511,B+,ส่งเเล้ว
310004865,C+,ส่งเเล้ว
750760971,C+,ส่งเเล้ว
750897863,A+,ส่งเเล้ว
-,C+,ส่งเเล้ว
750092425,C+,ส่งเเล้ว
730008798,CCC,ส่งเเล้ว
750671692,CCC,ส่งเเล้ว
750762025,BBB,ส่งเเล้ว
730020957,C+,ส่งเเล้ว
750873219,B+,ส่งเเล้ว
680015190,BB,ส่งเเล้ว
750644395,BB,ส่งเเล้ว
750644395,BB,ส่งเเล้ว
580003359,CC,ส่งเเล้ว
580001959,BB,ส่งเเล้ว
ลูกค้ารายใหม่,CCC,ส่งเเล้ว
750823818,B+,ส่งเเล้ว
680015190,BB,ส่งเเล้ว
750792562,B+,ส่งเเล้ว
540004054,C+,ส่งเเล้ว
750080392,B+,ส่งเเล้ว
710000812,B+,ส่งเเล้ว
750690246,CC,ส่งเเล้ว
750832642,CCC,ส่งเเล้ว
730007522,BB,ส่งเเล้ว
730007522,BB,ส่งเเล้ว
750804849,BB,ส่งเเล้ว
750762025,B+,ส่งเเล้ว
750602275,BB,ส่งเเล้ว
750602275,BB,ส่งเเล้ว
530006666,BB,ส่งเเล้ว
680008224,B+,ส่งเเล้ว
730035980,sBBB,ส่งเเล้ว
730013157,sBB,ส่งเเล้ว
730013483,sBBB,ส่งเเล้ว
630003100,sBB,ส่งเเล้ว
510003472,sBBB,ส่งเเล้ว
750428998,sB+,ส่งเเล้ว
750647721,sCC,ส่งเเล้ว
750643560,sBB,ส่งเเล้ว
750787339,sDD,ส่งเเล้ว
750749848,sC+,ส่งเเล้ว
750715418,sB+,ส่งเเล้ว
310001504,sBBB,ส่งเเล้ว
750642364,sBB,ส่งเเล้ว
750761041,sA+,ส่งเเล้ว
510000350,sBB,ส่งเเล้ว
750346699,sCC,ส่งเเล้ว
680005851,sCC,ส่งเเล้ว
730011161,sB+,ส่งเเล้ว
750479968,sBB,ส่งเเล้ว
730020330,sBB,ส่งเเล้ว
750670453,sBB,ส่งเเล้ว
750670453,sCC,ส่งเเล้ว
530001223,sA+,ส่งเเล้ว
730002522,sBBB,ส่งเเล้ว
730013474,sB+,ส่งเเล้ว
750708481,sBBB,ส่งเเล้ว
740001747,sBB,ส่งเเล้ว
610006195,sBB,ส่งเเล้ว
750483399,sBB,ส่งเเล้ว
750468097,sBBB,ส่งเเล้ว
750758130,sBBB,ส่งเเล้ว
750709319,sCCC,ส่งเเล้ว
480002815,sBBB,ส่งเเล้ว
550005097,sBB,ส่งเเล้ว
750820157,sBBB,ส่งเเล้ว
610008284,sBBB,ส่งเเล้ว
730021101,sBBB,ส่งเเล้ว
730013517,sBB,ส่งเเล้ว
750812231,sBBB,ส่งเเล้ว
750853485,sC+,ส่งเเล้ว
590000929,sAA,ส่งเเล้ว
750476674,sBB,ส่งเเล้ว
750852910,sBB,ส่งเเล้ว
530001708,sA+,ส่งเเล้ว
710000689,sA+,ส่งเเล้ว
730022993,sA+,ส่งเเล้ว
750712603,sB+,ส่งเเล้ว
750761041,sA+,ส่งเเล้ว
750241764,sBBB,ส่งเเล้ว
710001585,sA+,ส่งเเล้ว
750651477,sBB,ส่งเเล้ว
730003994,sBBB,ส่งเเล้ว
750791441,sCC,ส่งเเล้ว
670000829,sA+,ส่งเเล้ว
750715418,sCCC,ส่งเเล้ว
380004172,sBBB,ส่งเเล้ว
750825872,sCC,ส่งเเล้ว
750712603,sB+,ส่งเเล้ว
750703242,sCCC,ส่งเเล้ว
670007676,sCC,ส่งเเล้ว
610008283,sCC,ส่งเเล้ว
750751916,sCCC,ส่งเเล้ว
750709134,sB+,ส่งเเล้ว
520001118,sB+,ส่งเเล้ว
750438636,sC+,ส่งเเล้ว
580004367,sB+,ส่งเเล้ว
750898940,sC+,ส่งเเล้ว
750439745,sBB,ส่งเเล้ว
360001458,sA+,ส่งเเล้ว
750559514,sBBB,ส่งเเล้ว
750896969,sBBB,ส่งเเล้ว
680022334,sBB,ส่งเเล้ว
360002322,sC+,ส่งเเล้ว
750897008,sDD,ส่งเเล้ว
750559514,sBBB,ส่งเเล้ว
750820722,sBBB,ส่งเเล้ว
750820722,sCCC,ส่งเเล้ว
750769899,sCCC,ส่งเเล้ว
670007676,sCC,ส่งเเล้ว
530006714,sC+,ส่งเเล้ว
670007676,sCC,ส่งเเล้ว
750793460,sCCC,ส่งเเล้ว
520000209,sBB,ส่งเเล้ว
680002732,sBBB,ส่งเเล้ว
750600775,sCCC,ส่งเเล้ว
750893791,sB+,ส่งเเล้ว
530001223,sA+,ส่งเเล้ว
750809841,sCC,ส่งเเล้ว
750820157,sBBB,ส่งเเล้ว
750769899,sCCC,ส่งเเล้ว
750169877,sBBB,ส่งเเล้ว
750645715,sBB,ส่งเเล้ว
750428998,sCCC,ส่งเเล้ว
nan,sA+,ส่งเเล้ว
680002732,sBBB,ส่งเเล้ว
750514844,sCCC,ส่งเเล้ว
550001665,sBB,ส่งเเล้ว
610008283,sA+,ส่งเเล้ว
730021227,sCC,ส่งเเล้ว
nan,sB+,ส่งเเล้ว
750848904,sBB,ส่งเเล้ว
750783080,sCCC,ส่งเเล้ว
750061547,sBBB,ส่งเเล้ว
750622105,sB+,ส่งเเล้ว
750421742,sBB,ส่งเเล้ว
750003910,sCC,ส่งเเล้ว
680041844,sCC,ส่งเเล้ว
750687431,sBB,ส่งเเล้ว
750750237,sBB,ส่งเเล้ว
630003100,sBB,ส่งเเล้ว
730013902,sCCC,ส่งเเล้ว
750799979,sBBB,ส่งเเล้ว
390006761,sB+,ส่งเเล้ว
630002001,sDDD,ส่งเเล้ว
550003476,sCCC,ส่งเเล้ว
750812197,sBB,ส่งเเล้ว
550002011,sDDD,ส่งเเล้ว
750304787,sB+,ส่งเเล้ว
480003297,sA+,ส่งเเล้ว
750793460,sCC,ส่งเเล้ว
750816827,sBBB,ส่งเเล้ว
550001975,sA+,ส่งเเล้ว
480002348,sBBB,ส่งเเล้ว
620001113,sA+,ส่งเเล้ว
750817734,sCCC,ส่งเเล้ว
750677912,sCCC,ส่งเเล้ว
750439745,sBB,ส่งเเล้ว
480000611,sB+,ส่งเเล้ว
750709723,DDD,ส่งเเล้ว
750708601,sDDD,ส่งเเล้ว
730008234,sDDD,ส่งเเล้ว
750488232,sDDD,ส่งเเล้ว
330002520,sB+,ส่งเเล้ว
480003112,sBB,ส่งเเล้ว
750152913,sDDD,ส่งเเล้ว
730013515,sDDD,ส่งเเล้ว
730013516,sDDD,ส่งเเล้ว
750153562,sCCC,ส่งเเล้ว
520000466,sCCC,ส่งเเล้ว
540006968,sBB,ส่งเเล้ว
750482605,sDDD,ส่งเเล้ว
750849991,sDDD,ส่งเเล้ว
610025253,sB+,ส่งเเล้ว
750485878,sCCC,ส่งเเล้ว
650001027,sCC,ส่งเเล้ว
730039200,sBB,ส่งเเล้ว
540001248,sBB,ส่งเเล้ว
750309763,sBB,ส่งเเล้ว
750776262,sCC,ส่งเเล้ว
750731689,sBBB,ส่งเเล้ว
480002052,sBBB,ส่งเเล้ว
730020899,sBBB,ส่งเเล้ว
750708903,sCC,ส่งเเล้ว
750477782,sCC,ส่งเเล้ว
750013615,sBBB,ส่งเเล้ว
630003100,sBB,ส่งเเล้ว
750424448,sBB,ส่งเเล้ว
480000397,sBB,ส่งเเล้ว
730013487,sBB,ส่งเเล้ว
710001992,sBBB,ส่งเเล้ว
750709392,sCCC,ส่งเเล้ว
750061736,sCC,ส่งเเล้ว
670000686,sBBB,ส่งเเล้ว
730023103,sA+,ส่งเเล้ว
750709169,sB+,ส่งเเล้ว
730013485,sBB,ส่งเเล้ว
680012566,sBB,ส่งเเล้ว
750478336,sBBB,ส่งเเล้ว
750848189,sBB,ส่งเเล้ว
680004585,sC+,ส่งเเล้ว
730002416,sBB,ส่งเเล้ว
490000217,sBBB,ส่งเเล้ว
670002620,sBB,ส่งเเล้ว
610022992,sCCC,ส่งเเล้ว
580000618,sBBB,ส่งเเล้ว
330000721,sCC,ส่งเเล้ว
530003567,sBB,ส่งเเล้ว
390006346,sCC,ส่งเเล้ว
730021066,sB+,ส่งเเล้ว
610003675,sBB,ส่งเเล้ว
750158637,sCCC,ส่งเเล้ว
580002785,sBB,ส่งเเล้ว
750810643,sBBB,ส่งเเล้ว
390002873,sCCC,ส่งเเล้ว
680012544,sCC,ส่งเเล้ว
750449121,sB+,ส่งเเล้ว
750901234,sBB,ส่งเเล้ว
710001598,sBB,ส่งเเล้ว
750681503,sB+,ส่งเเล้ว
750283624,sA+,ส่งเเล้ว
680001615,sB+,ส่งเเล้ว
670005427,sBB,ส่งเเล้ว
680033759,sBBB,ส่งเเล้ว
490001111,sBB,ส่งเเล้ว
540000299,sBBB,ส่งเเล้ว
730014624,sBBB,ส่งเเล้ว
730014624,sBBB,ส่งเเล้ว
620000925,sBBB,ส่งเเล้ว
610012930,sBB,ส่งเเล้ว
730008450,sB+,ส่งเเล้ว
670001963,sBB,ส่งเเล้ว
750270320,sBB,ส่งเเล้ว
630004087,sBB,ส่งเเล้ว
750289737,sBB,ส่งเเล้ว
750667130,sBBB,ส่งเเล้ว
nan,sBBB,ส่งเเล้ว
680001353,sBB,ส่งเเล้ว
620002430,sBBB,ส่งเเล้ว
-,sBBB,ส่งเเล้ว
730011604,sBBB,ส่งเเล้ว
730011604,sBBB,ส่งเเล้ว
360000916,sBB,ส่งเเล้ว
"540,001,506,610,001,000",sBB,ส่งเเล้ว
680033759,sBBB,ส่งเเล้ว
530005771,sBBB,ส่งเเล้ว
730011853,sBBB,ส่งเเล้ว
730011853,sBBB,ส่งเเล้ว
