เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
670006670,9/8/2564 0:00,C+,ส่งเเล้ว
750142067,27/1/2564 0:00,A+,ส่งเเล้ว
750769764,3/2/2564 0:00,CC,ส่งเเล้ว
750769764,28/1/2564 0:00,CC,ส่งเเล้ว
750794593,31/5/2564 0:00,A+,ส่งเเล้ว
750769764,18/8/2564,C+,ส่งเเล้ว
750794184,23/8/2564,BBB,ส่งเเล้ว
750798220,27/9/2564,8.CC,ส่งเเล้ว
750751453,9/7/2564 0:00,3.A+,ส่งเเล้ว
380000938,25/10/2564,5.BB,ส่งเเล้ว
750205147,11/2/2564 0:00,6.B+,ส่งเเล้ว
750769764,14/12/2564,9.C+,ส่งเเล้ว
750142067,16/12/2564,3.A+,ส่งเเล้ว
750854232,24/12/2564,8.CC,ส่งเเล้ว
nan,nan,nan,ส่งเเล้ว
750899369,13/1/2564 0:00,BB,ส่งเเล้ว
750899369,9/1/2564 0:00,5.BB,ส่งเเล้ว
ลูกค้าใหม่,11/1/2564 0:00,BB,ส่งเเล้ว
750811477,29/10/2564,8.CC,ส่งเเล้ว
730015345,14/9/2564,10.DDD,ส่งเเล้ว
nan,9/2/2564 0:00,4.BBB,ส่งเเล้ว
750899477,11/5/2564 0:00,6.B+,ส่งเเล้ว
750764319,18/11/2564,6.B+,ส่งเเล้ว
750765097,12/8/2564 0:00,7.CCC,ส่งเเล้ว
750862970,21/5/2564,5.BB,ส่งเเล้ว
750750146,4/1/2564 0:00,CCC,ส่งเเล้ว
750346699,24/3/2564 0:00,C+,ส่งเเล้ว
750748113,26/1/2564 0:00,BBB,ส่งเเล้ว
nan,24/2/2564 0:00,BBB,ส่งเเล้ว
750894922,31/8/2564,CCC,ส่งเเล้ว
540004526,9/8/2564 0:00,10.DDD,ส่งเเล้ว
750750146,20/9/2564,10.DDD,ส่งเเล้ว
nan,7/12/2564 0:00,4.BBB,ส่งเเล้ว
750346699,10/6/2564 0:00,9.C+,ส่งเเล้ว
750765651,1/4/2564 0:00,5.BB,ส่งเเล้ว
750765939,20/12/2564,4.BBB,ส่งเเล้ว
750748113,23/12/2564 0:00,4.BBB,ส่งเเล้ว
750800923,2/8/2564 0:00,A+,ส่งเเล้ว
730015345,2/3/2564 0:00,CC,ส่งเเล้ว
690001351,7/1/2564 0:00,CCC,ส่งเเล้ว
nan,22/3/2564 0:00,B+,ส่งเเล้ว
540002759,18/2/2564 0:00,CC,ส่งเเล้ว
630010083,4/8/2564 0:00,CC,ส่งเเล้ว
750902516,9/6/2564 0:00,C+,ส่งเเล้ว
750708445,30/8/2564,DDD,ส่งเเล้ว
750118657,19/7/2564,C+,ส่งเเล้ว
540002759,16/9/2564,6.B+,ส่งเเล้ว
750676697,16/9/2564,4.BBB,ส่งเเล้ว
750787856,17/8/2564,5.BB,ส่งเเล้ว
390004094,10/4/2564 0:00,8.CC,ส่งเเล้ว
540005516,27/10/2564,10.DDD,ส่งเเล้ว
750363096,11/10/2564 0:00,4.BBB,ส่งเเล้ว
750271193,22/11/2564,6.B+,ส่งเเล้ว
750365528,12/2/2564 0:00,6.B+,ส่งเเล้ว
nan,12/2/2564 0:00,9.C+,ส่งเเล้ว
750902516,16/12/2564,8.CC,ส่งเเล้ว
690001351,30/11/2564,10.DDD,ส่งเเล้ว
750676697,12/3/2564 0:00,4.BBB,ส่งเเล้ว
750780026,28/12/2564,10.DDD,ส่งเเล้ว
750792562,28/4/2564 0:00,4.BBB,ส่งเเล้ว
750805168,19/7/2564 0:00,6.B+,ส่งเเล้ว
380003509,4/9/2564 0:00,9.C+,ส่งเเล้ว
750346149,4/9/2564 0:00,7.CCC,ส่งเเล้ว
750797871,6/1/2564 0:00,C+,ส่งเเล้ว
750810170,12/1/2564 0:00,BBB,ส่งเเล้ว
750811686,11/3/2564 0:00,B+,ส่งเเล้ว
750803774,19/3/2564 0:00,BB,ส่งเเล้ว
750810015,5/3/2564 0:00,BB,ส่งเเล้ว
750376161,5/1/2564 0:00,DD,ส่งเเล้ว
750314936,28/1/2564 0:00,DDD,ส่งเเล้ว
750252455,25/1/2564 0:00,DDD,ส่งเเล้ว
750516173,5/5/2564 0:00,C+,ส่งเเล้ว
