เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
nan,nan,nan,ส่งเเล้ว_CR
480003176,4/7/2566 0:00,9.C+,ส่งเเล้ว_CR
750759293,4/4/2566 0:00,3.A+,ส่งเเล้ว_CR
750935383,4/5/2566 0:00,7.CCC,ส่งเเล้ว_CR
490001117,22/2/2566,9.C+,ส่งเเล้ว_CR
750907973,27/2/2566,7.CCC,ส่งเเล้ว_CR
nan,4/3/2566 0:00,5.BB,ส่งเเล้ว_CR
750968674,27/3/2566,4.BBB,ส่งเเล้ว_CR
750360207,3/10/2566 0:00,9.C+,ส่งเเล้ว_CR
nan,24/4/2566,5.BB,ส่งเเล้ว_CR
580003359,17/3/2566,6.B+,ส่งเเล้ว_CR
520000555,24/3/2566,6.B+,ส่งเเล้ว_CR
750909091,24/3/2566,5.BB,ส่งเเล้ว_CR
750309763,27/3/2566,21.sC+,ส่งเเล้ว_CR
750434909,23/3/2566,16.sBBB,ส่งเเล้ว_CR
nan,30/3/2566,19.sCCC,ส่งเเล้ว_CR
480002815,4/7/2566 0:00,21.sC+,ส่งเเล้ว_CR
750820722,4/4/2566 0:00,20.sCC,ส่งเเล้ว_CR
750485878,18/4/2566,17.sBB,ส่งเเล้ว_CR
750478336,20/2/2566,20.sCC,ส่งเเล้ว_CR
740001748,4/3/2566 0:00,19.sCCC,ส่งเเล้ว_CR
750241764,19/4/2566,18.sB+,ส่งเเล้ว_CR
750186222,27/3/2566,17.sBB,ส่งเเล้ว_CR
310001363,30/3/2566,17.sBB,ส่งเเล้ว_CR
730011161,23/3/2566,18.sB+,ส่งเเล้ว_CR
nan,3/7/2566 0:00,19.sCCC,ส่งเเล้ว_CR
730012589,4/7/2566 0:00,17.sBB,ส่งเเล้ว_CR
750853132,21/2/2566,17.sBB,ส่งเเล้ว_CR
750463296,30/3/2566,15.sA+,ส่งเเล้ว_CR
310002846,4/5/2566 0:00,17.sBB,ส่งเเล้ว_CR
730019503,4/4/2566 0:00,15.sA+,ส่งเเล้ว_CR
nan,23/3/2566,19.sCCC,ส่งเเล้ว_CR
750097991,28/3/2566,18.sB+,ส่งเเล้ว_CR
730013484,4/5/2566 0:00,16.sBBB,ส่งเเล้ว_CR
nan,3/8/2566 0:00,16.sBBB,ส่งเเล้ว_CR
750383321,31/3/2566,19.sCCC,ส่งเเล้ว_CR
610009309,17/3/2566,17.sBB,ส่งเเล้ว_CR
750296825,20/4/2566,17.sBB,ส่งเเล้ว_CR
nan,18/4/2566,18.sB+,ส่งเเล้ว_CR
750217928,25/4/2566,18.sB+,ส่งเเล้ว_CR
nan,31/3/2566,15.sA+,ส่งเเล้ว_CR
530003293,4/12/2566 0:00,18.sB+,ส่งเเล้ว_CR
nan,24/4/2566,19.sCCC,ส่งเเล้ว_CR
610006931,29/3/2566,17.sBB,ส่งเเล้ว_CR
nan,16/2/2566,16.sBBB,ส่งเเล้ว_CR
750630246,17/3/2566,19.sCCC,ส่งเเล้ว_CR
750389379,4/4/2566 0:00,16.sBBB,ส่งเเล้ว_CR
nan,4/11/2566 0:00,18.sB+,ส่งเเล้ว_CR
750937459,17/4/2566,15.sA+,ส่งเเล้ว_CR
750797944,21/3/2566,17.sBB,ส่งเเล้ว_CR
510000452,4/7/2566 0:00,19.sCCC,ส่งเเล้ว_CR
750940636,nan,16.sBBB,ส่งเเล้ว_CR
